SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g
snztf18,-2.626289162713549,0.272079829666705,-0.0419322578763043,-3.790817943344195,6.329860813012807,12.03780685624021,-5.497212959266962
sn18dfi,-4.024945002482261,0.1354770640398016,-0.0594726356262952,-1.9903598482468283,4.658363577895018,14.184141419599474,-2.570306170242445
sn19rwd,-1.474351250560757,0.1216667550335199,-0.1635489175845985,-2.098933829825578,8.127706413952813,13.611506426912609,-3.499256438566023
sn20ano,,0.4723109696068981,-0.1189226755987546,-6.835817531764478,,14.375039247677815,-5.608256323502099
sn20ikq,-1.6944502711030407,0.0738251477882402,0.005143349949321,-1.1874582978833073,-0.3457444990138199,10.089820790943431,-3.0574103738250504
sn20rsc,-4.015731819050329,0.3234895968055209,-0.1555051285172296,-5.038573929958942,7.467698800665766,15.598407962794186,-2.412415413682229
sn20sbw,-5.980629203441028,0.3046015120726063,-0.2372003416877898,-5.177703410258437,11.173375711577934,14.7474452056842,-3.336282740794554
sn21gno,-3.560562725017945,0.1061404092193754,-0.1131572005761391,-3.003369610037931,10.025324742913352,14.567202776684663,-1.7512539321091
sn21heh,,0.164072231100357,-0.0658945886758077,-2.640565400571825,,12.840037967003324,-1.448944568206773
sn21pb,,0.286855276246429,-0.1168065549094556,-5.531410403853855,,12.47029767604514,-3.140067092316263
sn21vgn,-1.1204011982240327,0.1702668065180762,-0.0894821171383603,-2.9821849819812543,8.01816713589425,14.384736169837684,-3.5470803852000405
sn22hnt,,0.3402109360319807,-0.181713291551783,-6.3972389508801175,,14.476460227302436,-1.9587613819474852
sn22jpx,,0.0652949191747766,-0.0558197631214447,-2.4067356677384297,,10.156897995348718,-0.112670553735528
sn22qzr,,0.2801069105737058,-0.169667575720543,-5.2569022873713385,,13.788748451435907,-3.768772807707366
