sn,ext_g,ext_r,mag_conversion
snztf18,0.024367652297056248,0.016695318138846362,37.16119813543889
sn18dfi,0.024894052314410695,0.01724317548445182,35.65514363834816
sn19rwd,0.08255261541164892,0.05751744407466776,34.342376369700084
sn20ano,0.024122809260505067,0.016708067268214707,35.664305717615775
sn20bio,0.01150459474717345,0.00804316343233838,32.37835594162215
sn20ikq,0.01343117936273243,0.009277361334584613,36.08968440738593
sn20rsc,0.05761919960439654,0.0399057125634598,35.67622977314143
sn20sbw,0.044073150137679956,0.030629263293419435,35.005451717694804
sn21gno,0.04168767522368923,0.029180103317268086,32.42149919673393
sn21heh,0.04162348222611881,0.028883129372752957,35.3824362278314
sn21pb,0.013012465521538424,0.009005114822292305,35.80463097778281
sn21vgn,0.01827471118849528,0.012651159391022546,35.74848377773221
sn22hnt,0.01768327344464704,0.012309105127626726,34.60794451938724
sn22jpx,0.05515072258652138,0.03845825277493543,34.069394506083505
sn22qzr,0.03576644090196691,0.02489867773798646,34.585087869414814
