SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r
snztf18,-2.626289162713549,0.272079829666705,-0.04193225787630434,-3.790817943344195,6.329860813012807,12.03780685624021,-5.497212959266962,-1.8626801586941666,0.09835741301130119,-0.08974347587158973,-3.1616077314411237,7.200226968670023,13.253308817800175,-5.5435635821801945
sn18dfi,-4.024945002482261,0.13547706403980161,-0.05947263562629527,-1.9903598482468285,4.658363577895018,14.184141419599474,-2.5703061702424446,-0.24715567262699017,0.09192105817149934,-0.058693250474985366,-1.8807941229752752,6.366673393092746,13.359779144998049,-2.9251914835772848
sn19rwd,-1.474351250560757,0.12166675503351991,-0.16354891758459855,-2.098933829825578,8.127706413952813,13.611506426912607,-3.499256438566023,-0.6804567496289373,0.07032046909018563,-0.03613563064108094,-1.6576386782991832,8.559194349941132,13.16520851395357,-2.123766869661902
sn20ano,,0.4723109696068981,-0.11892267559875463,-6.835817531764478,,14.375039247677817,-5.608256323502099,-1.2198486382883493,0.2741793203580791,-0.09744760414310721,-4.560904789494716,9.353552310050752,14.503143736730333,-5.5038613417506985
sn20ikq,-1.6944502711030407,0.07382514778824024,0.005143349949321085,-1.1874582978833073,-0.34574449901381993,10.089820790943431,-3.0574103738250504,-1.3125647029887457,0.023252750298741555,-0.04564664106084298,-0.6232324961434619,-0.7103999868464885,13.961533662019033,-1.4327551588762146
sn20rsc,-4.015731819050329,0.3234895968055209,-0.15550512851722964,-5.038573929958942,7.467698800665766,15.598407962794186,-2.412415413682229,-1.6380592323691254,0.13063929199104068,-0.1637792030127118,-3.4771611779997915,7.619531158168899,16.005775347375007,-0.9269022597385467
sn20sbw,-5.980629203441028,0.3046015120726063,-0.23720034168778983,-5.177703410258437,11.173375711577934,14.7474452056842,-3.336282740794554,-4.973065780980088,0.5743125033154957,-0.23908444486247962,-10.4743640024528,12.150482774201308,14.189049332503725,-3.541403440081679
sn21gno,-3.560562725017945,0.10614040921937544,-0.11315720057613918,-3.003369610037931,10.025324742913352,14.567202776684665,-1.7512539321090999,-3.179642475903455,-0.03470276940094485,-0.11099032523902641,-0.024984908699607677,10.910618912150285,14.35211867700559,-2.7879036403590716
sn21heh,,0.16407223110035707,-0.06589458867580773,-2.640565400571825,,12.840037967003324,-1.448944568206773,-1.402309956210393,0.1234210000165208,-0.0773159249847677,-2.018570491768591,1.940473323141529,13.72959913263372,-1.906975510620548
sn21pb,,0.286855276246429,-0.11680655490945566,-5.531410403853855,,12.47029767604514,-3.140067092316263,-1.4007638869206094,0.11941243797168792,-0.15313557701742844,-3.847865691674076,8.140442517723683,12.806405551980442,-2.61778799344113
sn21vgn,-1.1204011982240327,0.17026680651807624,-0.08948211713836038,-2.9821849819812543,8.01816713589425,14.384736169837685,-3.5470803852000405,-1.0215177591117828,0.1547095513454831,-0.08568766599246229,-3.037147310410573,8.379797799343006,14.269291913224993,-2.4674127723989066
sn22hnt,,0.34021093603198077,-0.181713291551783,-6.3972389508801175,,14.476460227302436,-1.9587613819474854,-1.4693533887337553,0.2661909424155529,-0.13220194788601033,-4.774696541101476,9.239076649483444,14.128150406344147,-2.705785909400407
sn22jpx,,0.06529491917477669,-0.05581976312144475,-2.4067356677384297,,10.156897995348718,-0.11267055373552803,-1.0809982670494753,0.0918725551644855,-0.0428276511888349,-1.2987560901875617,3.7966265787537856,12.126498736239904,-2.015146317952658
sn22qzr,,0.28010691057370585,-0.16966757572054303,-5.2569022873713385,,13.788748451435909,-3.768772807707366,-1.712288679158492,0.14700333222537607,-0.15301425817708542,-4.393885500399898,8.404553596543613,12.87055629927933,-3.4459376208200876
