SN_ID,t_half-g,t_half_16-g,t_half_84-g,t_half-r,t_half_16-r,t_half_84-r
snztf18,3.0799999999999343,2.909999999999938,3.369999999999928,6.339999999999865,3.8699999999999175,8.079999999999828
sn18dfi,5.599999999999881,5.329999999999886,5.929999999999874,11.149999999999762,9.909999999999789,12.749999999999728
sn19rwd,6.489999999999862,5.62999999999988,7.729999999999835,6.699999999999857,5.929999999999874,7.659999999999837
sn20ano,,,,3.619999999999923,3.149999999999933,4.569999999999903
sn20ikq,8.969999999999809,7.48999999999984,10.739999999999771,18.699999999999605,15.159999999999677,20.439999999999564
sn20rsc,2.489999999999947,2.3199999999999505,2.679999999999943,5.449999999999884,4.439999999999905,6.839999999999854
sn20sbw,2.4499999999999478,2.209999999999953,2.81999999999994,1.4299999999999695,1.219999999999974,1.8599999999999604
sn21gno,4.749999999999899,3.6399999999999224,5.499999999999883,0.3099999999999934,0.23999999999999488,0.49999999999998934
sn21heh,,,,6.279999999999866,5.329999999999886,8.549999999999818
sn21pb,,,,4.769999999999898,3.699999999999921,6.389999999999864
sn21vgn,4.519999999999904,4.109999999999912,5.13999999999989,4.989999999999894,4.3399999999999075,5.659999999999879
sn22hnt,,,,3.379999999999928,3.0299999999999354,3.8699999999999175
sn22jpx,,,,8.509999999999819,8.019999999999829,9.029999999999808
sn22qzr,,,,3.949999999999916,2.9699999999999367,5.709999999999878
